
RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1301	Streptococcus pneumoniae	16162.5	9375.1
Bacteria	29404	Microlunatus phosphovorus	0.6	0.1
Bacteria	1357	Lactococcus lactis	0.5	0.1

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1301	Streptococcus pneumoniae	17731.5	10042.2
Bacteria	1637	Listeria monocytogenes	0.1	0.1
Bacteria	1930845	Ndongobacter massiliensis	0.1	0.0
Bacteria	399320	uncultured Sphaerochaeta sp.	0.1	0.0
Bacteria	2737	Vagococcus lutrae	0.0	0.2
Bacteria	2737	Vagococcus fluvialis	0.0	0.0
Bacteria	2737	Vagococcus salmoninarum	0.0	0.0
Bacteria	2737	Vagococcus teuberi	0.0	0.0
Bacteria	2737	Vagococcus penaei	0.0	0.0

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	1301	Streptococcus pneumoniae	17731.5	10042.2	39.9	16162.5	9375.1	36.4



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1301	Streptococcus pneumoniae	10.5	8.0
Bacteria	1279	Staphylococcus warneri	8.2	1.4
Bacteria	265976	Serinicoccus sp. JLT9	2.9	0.2
Bacteria	1269	Micrococcus luteus	2.7	1.4
Bacteria	57493	Kocuria turfanensis	2.0	0.2
Bacteria	475	Moraxella osloensis	1.9	0.5
Bacteria	1860	Geodermatophilus obscurus	1.6	0.3
Bacteria	38501	Blastococcus saxobsidens	1.5	0.5
Bacteria	361177	Altererythrobacter dongtanensis	1.4	1.0
Bacteria	88138	Modestobacter marinus	1.3	0.1
Bacteria	379	Rhizobium sp. NT-26	1.2	0.2
Bacteria	2044	Pimelobacter simplex	1.1	0.1
Bacteria	186650	Microvirga ossetica	1.1	0.1
Bacteria	68	Lysobacter antibioticus	0.8	0.1
Bacteria	53457	Janibacter indicus	0.8	0.2
Bacteria	283	Comamonas aquatica	0.8	0.8
Bacteria	1060	Rhodobacter sphaeroides	0.7	0.1
Bacteria	1763	Mycobacterium aurum	0.7	0.1
Bacteria	83618	Pseudoxanthomonas suwonensis	0.7	0.1
Bacteria	285107	Thioclava nitratireducens	0.6	0.1

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1301	Streptococcus pneumoniae	8.6	5.7

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	1301	Streptococcus pneumoniae	8.6	5.7	-0.2	10.5	8.0	-0.2



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	447237	Frondihabitans sp. PAMC 28766	137.4	2.7
Bacteria	1912216	Cutibacterium acnes	106.5	174.6
Bacteria	32207	Rothia mucilaginosa	90.9	0.1
Bacteria	149698	Massilia putida	59.1	3.5
