
RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1357	Lactococcus lactis	0.5	0.1
Bacteria	1269	Micrococcus luteus	0.4	0.1
Bacteria	570	Klebsiella pneumoniae	0.3	1.1
Bacteria	48736	Ralstonia pickettii	0.2	0.1
Bacteria	233191	Caldilinea aerophila	0.1	0.2
Bacteria	283	Comamonas testosteroni	0.1	0.1
Bacteria	1350	Enterococcus faecalis	0.1	7.7

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	570	Klebsiella pneumoniae	0.6	0.8
Bacteria	222	Achromobacter xylosoxidans	0.5	0.1
Bacteria	1269	Micrococcus luteus	0.3	0.1
Bacteria	1912216	Cutibacterium acnes	0.3	0.2
Bacteria	561	Escherichia coli	0.2	0.7
Bacteria	233191	Caldilinea aerophila	0.2	0.2
Bacteria	1357	Lactococcus lactis	0.2	0.8
Bacteria	286	Pseudomonas putida	0.1	0.0
Bacteria	48736	Ralstonia pickettii	0.1	0.1
Viruses	110456	Escherichia virus T7	0.0	0.0
Viruses	153135	Murine leukemia virus	0.0	0.0
Viruses	1623281	Mycobacterium virus Che8	0.0	0.0

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	53457	Janibacter indicus	0.8	0.2
Bacteria	233191	Caldilinea aerophila	0.4	0.6
Viruses	687332	TTV-like mini virus	0.4	0.8

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	1269	Micrococcus luteus	0.5	0.3
Bacteria	286	Pseudomonas stutzeri	0.2	0.1
Bacteria	561	Escherichia coli	0.2	0.3
Bacteria	53457	Janibacter indicus	0.2	0.1
Bacteria	233191	Caldilinea aerophila	0.2	0.4
Bacteria	48736	Ralstonia pickettii	0.2	0.2
Bacteria	475	Moraxella osloensis	0.2	0.1
Viruses	687331	Torque teno virus 16	0.1	0.0
Bacteria	590	Salmonella enterica	0.1	0.1
Bacteria	265	Paracoccus contaminans	0.1	0.0
Viruses	1982251	Propionibacterium virus PHL132N00	0.0	0.0
Viruses	1982239	Pseudomonas virus PaMx25	0.0	0.0
Viruses	687332	TTV-like mini virus	0.0	0.0

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	38501	Blastococcus saxobsidens	0.9	0.3
Bacteria	88138	Modestobacter marinus	0.7	0.1
Bacteria	547	Enterobacter cloacae	0.5	0.1
Bacteria	561	Escherichia coli	0.3	0.8
Bacteria	242605	Luteibacter rhizovicinus	0.1	0.1
Bacteria	1847725	Lawsonella clevelandensis	0.1	0.2

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Viruses	10509	Human mastadenovirus C	0.5	0.2
Bacteria	53457	Janibacter indicus	0.4	0.1
Viruses	333922	Betapapillomavirus 2	0.3	0.3
Bacteria	413496	Cronobacter sakazakii	0.3	1.2
Bacteria	620	Shigella flexneri	0.2	0.8
Bacteria	583	Proteus mirabilis	0.1	0.2
Bacteria	29487	Photorhabdus luminescens	0.1	2.6

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	29487	Photorhabdus luminescens	0.3	0.9
Bacteria	551	Erwinia tasmaniensis	0.2	0.1
Bacteria	1912216	Cutibacterium acnes	0.2	0.1
Bacteria	53457	Janibacter indicus	0.1	0.1
Bacteria	583	Proteus mirabilis	0.1	1.7

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	2701	Gardnerella vaginalis	0.5	0.3
Bacteria	216851	Faecalibacterium prausnitzii	0.3	0.3

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	242605	Luteibacter rhizovicinus	0.5	0.3
Bacteria	1234	Nitrospira moscoviensis	0.4	0.2

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	1073	Rhodopseudomonas palustris	0.4	0.2

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	547	Enterobacter cloacae	0.3	0.2
Bacteria	1073	Rhodopseudomonas palustris	0.3	0.1
Bacteria	34072	Variovorax paradoxus	0.2	0.2
Bacteria	561	Escherichia coli	0.2	0.6
Bacteria	1707	Cellulomonas fimi	0.2	0.1
Bacteria	570	Klebsiella pneumoniae	0.2	0.1
Bacteria	222	Achromobacter xylosoxidans	0.2	0.1
Bacteria	590	Salmonella enterica	0.1	0.1

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	475	Moraxella osloensis	0.8	0.2
Viruses	39744	Mumps rubulavirus	0.7	0.6
Bacteria	265976	Serinicoccus sp. JLT9	0.4	0.1
Bacteria	53457	Janibacter indicus	0.4	0.2
Bacteria	57499	Kytococcus sedentarius	0.4	0.1
Bacteria	283	Comamonas testosteroni	0.2	0.1
Bacteria	34072	Variovorax paradoxus	0.2	0.1
Bacteria	570	Klebsiella pneumoniae	0.2	0.8
Bacteria	361177	Altererythrobacter dongtanensis	0.1	0.1

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	34072	Variovorax paradoxus	0.6	0.3
Bacteria	57499	Kytococcus sedentarius	0.5	0.3
Bacteria	475	Moraxella osloensis	0.4	0.1
Bacteria	590	Salmonella enterica	0.3	0.2
Bacteria	561	Escherichia coli	0.2	0.4
Bacteria	265976	Serinicoccus sp. JLT9	0.2	0.1
Bacteria	361177	Altererythrobacter dongtanensis	0.1	0.1
Bacteria	1654	Actinomyces oris	0.1	0.1
Bacteria	570	Klebsiella pneumoniae	0.1	0.1

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	475	Moraxella osloensis	0.5	0.1
Bacteria	561	Escherichia coli	0.3	0.6
Bacteria	1298	Deinococcus puniceus	0.2	0.1
Bacteria	222	Achromobacter xylosoxidans	0.1	0.1
Viruses	110456	Escherichia virus T7	0.1	0.0
Bacteria	1301	Streptococcus mitis	0.1	0.1
Bacteria	547	Enterobacter cloacae	0.1	0.1

RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	40323	Stenotrophomonas maltophilia	0.2	0.6

DNA
